url	Hãng	Năm sản xuất	Nhiên liệu	Kiểu dáng	Dòng xe	Số km đã đi	Hộp số	Xuất Xứ	Số chỗ
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86685110.htm#px=SR-stickyad-[PO-1][PL-top]	Mercedes Benz	2015	Xăng	Sedan	C Class	59000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-duong-kinh-hai-phong/87923353.htm#px=SR-stickyad-[PO-2][PL-top]	Mazda	2010	Xăng	Hatchback	MX 3	160000	Tự động	Nhật Bản	5
https://xe.chotot.com//[object Object]-thanh-pho-hai-duong-hai-duong/87957681.htm#px=SR-stickyad-[PO-3][PL-top]	Hyundai	2018	Xăng	Hatchback	Grand i10	60000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87617682.htm#px=SR-stickyad-[PO-4][PL-top]	Hyundai	2019	Xăng	SUV / Cross over	Tucson	9000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-ninh-giang-hai-duong/87956162.htm#px=SR-stickyad-[PO-5][PL-top]	Hyundai	2010	Xăng	Sedan	Elantra	6886	Số sàn	Hàn Quốc	5
https://xe.chotot.com//[object Object]-thanh-pho-ninh-binh-ninh-binh/87960106.htm	Kia	2011	Xăng	Hatchback	Morning	5628	Tự động	Hàn Quốc	2
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/84468892.htm	Chevrolet	2016	Xăng	SUV / Cross over	Captiva	60000	Tự động	NaN	7
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87914022.htm	Hyundai	2013	Xăng	Sedan	Avante	88000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-cam-giang-hai-duong/87960103.htm	Kia	2011	Xăng	Hatchback	Morning	123456	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-xuan-truong-nam-dinh/87898635.htm	Hyundai	2018	Xăng	Sedan	Accent	52368	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-long-bien-ha-noi/87876337.htm	Mercedes Benz	2017	Xăng	Sedan	C Class	60000	Tự động	Việt Nam	5
